PHARMACOLOGICAL_CLASS,DRUG_NAME,GENERIC_NAME,COMBINED_NAME,BENEFICIARY_COUNT,PRESCRIBER_COUNT,TOTAL_CLAIM_COUNT, TOTAL_DRUG_COST 
"ANTIASTHMA,OTHER",ACCOLATE,ZAFIRLUKAST,ACCOLATE : ZAFIRLUKAST,695,768,3011,450914
"BRONCHODILATORS,SYMPATHOMIMETIC,INHALATION",ACCUNEB,ALBUTEROL SULFATE,ACCUNEB : ALBUTEROL SULFATE,23,21,44,2051
ACE INHIBITORS,ACCUPRIL,QUINAPRIL HCL,ACCUPRIL : QUINAPRIL HCL,1454,1626,7400,1063447
ANTIHYPERTENSIVE COMBINATIONS,ACCURETIC,QUINAPRIL/HYDROCHLOROTHIAZIDE,ACCURETIC : QUINAPRIL/HYDROCHLOROTHIAZIDE,145,168,651,92286
MEDICAL SUPPLY,ACCUSURE,"SYRING W-NDL,DISP,INSUL,0.5ML","ACCUSURE : SYRING W-NDL,DISP,INSUL,0.5ML",NaN,NaN,26,444
MEDICAL SUPPLY,ACCUSURE,"SYRINGE & NEEDLE,INSULIN,1 ML","ACCUSURE : SYRINGE & NEEDLE,INSULIN,1 ML",NaN,NaN,16,365
BETA BLOCKERS/RELATED,ACEBUTOLOL HCL,ACEBUTOLOL HCL,ACEBUTOLOL HCL : ACEBUTOLOL HCL,23942,19779,134256,3888337
ACE INHIBITORS,ACEON,PERINDOPRIL ERBUMINE,ACEON : PERINDOPRIL ERBUMINE,36,38,120,11372
OPIOID ANALGESICS,ACETAMINOPH-CAFF-DIHYDROCODEIN,DHCODEINE BT/ACETAMINOPHN/CAFF,ACETAMINOPH-CAFF-DIHYDROCODEIN : DHCODEINE BT/ACETAMINOPHN/CAFF,607,525,2058,216222
NON-OPIOID ANALGESICS,ACETAMINOPHEN-BUTALBITAL,BUTALBITAL/ACETAMINOPHEN,ACETAMINOPHEN-BUTALBITAL : BUTALBITAL/ACETAMINOPHEN,281,287,687,16727
OPIOID ANALGESICS,ACETAMINOPHEN-CODEINE,ACETAMINOPHEN WITH CODEINE,ACETAMINOPHEN-CODEINE : ACETAMINOPHEN WITH CODEINE,1212371,346259,2716272,32946988
"ANTI-INFECTIVE/ANTI-INFLAMMATORY COMBINATIONS,TOPICAL OTIC",ACETASOL HC,ACETIC ACID/HYDROCORTISONE,ACETASOL HC : ACETIC ACID/HYDROCORTISONE,1530,1328,1974,360809
CARBONIC ANHYDRASE INHIBITOR DIURETICS,ACETAZOLAMIDE,ACETAZOLAMIDE,ACETAZOLAMIDE : ACETAZOLAMIDE,91387,49572,266844,17588085
CARBONIC ANHYDRASE INHIBITOR DIURETICS,ACETAZOLAMIDE SODIUM,ACETAZOLAMIDE SODIUM,ACETAZOLAMIDE SODIUM : ACETAZOLAMIDE SODIUM,NaN,NaN,11,1527
IRRIGATION SOLUTIONS,ACETIC ACID,ACETIC ACID,ACETIC ACID : ACETIC ACID,26476,15551,53177,1251716
"ANTI-INFECTIVES,TOPICAL OTIC OTHER",ACETIC ACID-ALUMINUM,ACETIC ACID/ALUMINUM ACETATE,ACETIC ACID-ALUMINUM : ACETIC ACID/ALUMINUM ACETATE,3868,2125,5283,319471
HERBS/ALTERNATIVE THERAPIES,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE : ACETYLCYSTEINE,5924,4572,12363,1530784
"GASTRIC MEDICATIONS,OTHER",LOTRONEX,ALOSETRON HCL,LOTRONEX : ALOSETRON HCL,2367,1752,9569,14308228
"ANTIPSORIATICS,SYSTEMIC",ACITRETIN,ACITRETIN,ACITRETIN : ACITRETIN,4210,3131,10344,10261959
"ANTI-INFLAMMATORY,TOPICAL",ACLOVATE,ALCLOMETASONE DIPROPIONATE,ACLOVATE : ALCLOMETASONE DIPROPIONATE,13,11,14,2336
"ANTIRHEUMATICS,OTHER",ACTEMRA,TOCILIZUMAB,ACTEMRA : TOCILIZUMAB,649,391,4052,6774145
VACCINES,ACTHIB,HAEMOPH B POLY CONJ-TET TOX/PF,ACTHIB : HAEMOPH B POLY CONJ-TET TOX/PF,333,311,375,14556
"GASTRIC MEDICATIONS,OTHER",BALSALAZIDE DISODIUM,BALSALAZIDE DISODIUM,BALSALAZIDE DISODIUM : BALSALAZIDE DISODIUM,19207,12108,89015,11371335
IMMUNE STIMULANTS,ACTIMMUNE,"INTERFERON GAMMA-1B,RECOMB.","ACTIMMUNE : INTERFERON GAMMA-1B,RECOMB.",63,67,470,14061309
OPIOID ANALGESICS,ACTIQ,FENTANYL CITRATE,ACTIQ : FENTANYL CITRATE,68,89,547,6082509
"HORMONES/SYNTHETICS/MODIFIERS,OTHER",ACTIVELLA,ESTRADIOL/NORETHINDRONE ACET,ACTIVELLA : ESTRADIOL/NORETHINDRONE ACET,1056,1071,4724,830174
"HORMONES/SYNTHETICS/MODIFIERS,OTHER",ACTONEL,RISEDRONATE SODIUM,ACTONEL : RISEDRONATE SODIUM,168023,89525,809719,174460887
"ORAL HYPOGLYCEMIC AGENTS,ORAL",ACTOPLUS MET,PIOGLITAZONE HCL/METFORMIN HCL,ACTOPLUS MET : PIOGLITAZONE HCL/METFORMIN HCL,5010,4434,18098,7160852
"ORAL HYPOGLYCEMIC AGENTS,ORAL",ACTOPLUS MET XR,PIOGLITAZONE HCL/METFORMIN HCL,ACTOPLUS MET XR : PIOGLITAZONE HCL/METFORMIN HCL,1478,1411,5606,2982027
"ORAL HYPOGLYCEMIC AGENTS,ORAL",ACTOS,PIOGLITAZONE HCL,ACTOS : PIOGLITAZONE HCL,34688,25021,97625,36848869
"NONSALICYLATE NSAIs,ANTIRHEUMATIC",ACULAR,KETOROLAC TROMETHAMINE,ACULAR : KETOROLAC TROMETHAMINE,506,391,995,188135
"NONSALICYLATE NSAIs,ANTIRHEUMATIC",ACULAR LS,KETOROLAC TROMETHAMINE,ACULAR LS : KETOROLAC TROMETHAMINE,772,549,1375,247414
"NONSALICYLATE NSAIs,ANTIRHEUMATIC",ACUVAIL,KETOROLAC TROMETHAMINE/PF,ACUVAIL : KETOROLAC TROMETHAMINE/PF,3337,1040,5291,1204871
ANTIVIRALS,ACYCLOVIR,ACYCLOVIR,ACYCLOVIR : ACYCLOVIR,564855,239908,1376080,55344740
ANTIVIRALS,ACYCLOVIR SODIUM,ACYCLOVIR SODIUM,ACYCLOVIR SODIUM : ACYCLOVIR SODIUM,171,173,364,82625
"ANTIACNE AGENTS,TOPICAL",ACZONE,DAPSONE,ACZONE : DAPSONE,2705,2147,4799,1605481
VACCINES,ADACEL TDAP,"DIPH,PERTUSS(ACELL),TET VAC/PF","ADACEL TDAP : DIPH,PERTUSS(ACELL),TET VAC/PF",144427,33312,146032,8217754
CALCIUM CHANNEL BLOCKERS,ADALAT CC,NIFEDIPINE,ADALAT CC : NIFEDIPINE,646,715,3180,331109
"ANTIACNE AGENTS,TOPICAL",ADAPALENE,ADAPALENE,ADAPALENE : ADAPALENE,4424,3776,8246,1394442
"GENITO-URINARY AGENTS,OTHER",ADCIRCA,TADALAFIL,ADCIRCA : TADALAFIL,8773,3653,62507,111240217
AMPHETAMINES,ADDERALL,DEXTROAMPHETAMINE/AMPHETAMINE,ADDERALL : DEXTROAMPHETAMINE/AMPHETAMINE,1303,1491,5060,1639425
AMPHETAMINES,ADDERALL XR,DEXTROAMPHETAMINE/AMPHETAMINE,ADDERALL XR : DEXTROAMPHETAMINE/AMPHETAMINE,6025,6375,25777,9257638
ANTIVIRALS,ADEFOVIR DIPIVOXIL,ADEFOVIR DIPIVOXIL,ADEFOVIR DIPIVOXIL : ADEFOVIR DIPIVOXIL,454,453,984,1075108
"ANTIHYPERTENSIVES,OTHER",ADEMPAS,RIOCIGUAT,ADEMPAS : RIOCIGUAT,144,101,207,1505606
CENTRALLY-ACTING APPETITE SUPPRESSANTS,ADIPEX-P,PHENTERMINE HCL,ADIPEX-P : PHENTERMINE HCL,27,27,66,5644
"ANTIBIOTICS, TETRACYCLINES",ADOXA,DOXYCYCLINE MONOHYDRATE,ADOXA : DOXYCYCLINE MONOHYDRATE,11,12,24,24297
SYMPATHOMIMETICS (ADRENERGICS),ADRENALIN CHLORIDE,EPINEPHRINE,ADRENALIN CHLORIDE : EPINEPHRINE,150,138,157,737
ANTINEOPLASTIC ANTIBIOTICS,ADRIAMYCIN,DOXORUBICIN HCL,ADRIAMYCIN : DOXORUBICIN HCL,17,14,35,5505
"ANTINEOPLASTICS,ANTIMETABOLITES",ADRUCIL,FLUOROURACIL,ADRUCIL : FLUOROURACIL,101,87,318,15861
"ANTIASTHMA,OTHER",ADVAIR DISKUS,FLUTICASONE/SALMETEROL,ADVAIR DISKUS : FLUTICASONE/SALMETEROL,1527217,288140,6605423,2262995221
"ANTIASTHMA,OTHER",ADVAIR HFA,FLUTICASONE/SALMETEROL,ADVAIR HFA : FLUTICASONE/SALMETEROL,100671,57099,349136,122441763
MISCELLANEOUS AGENTS,ADVANCED AM/PM,OM-3/CA CARB/D3/FA/MV CMB 13,ADVANCED AM/PM : OM-3/CA CARB/D3/FA/MV CMB 13,14,NaN,35,3343
ANTILIPEMIC AGENTS/STATIN,ADVICOR,NIACIN/LOVASTATIN,ADVICOR : NIACIN/LOVASTATIN,5960,5826,27546," $9,760,806.00 "
MEDICAL SUPPLY,ADVOCATE PEN NEEDLES,"NEEDLES, INSULIN DISPOSABLE","ADVOCATE PEN NEEDLES : NEEDLES, INSULIN DISPOSABLE",4267,4017,5921,377266
MEDICAL SUPPLY,ADVOCATE SYRINGES,"SYRING W-NDL,DISP,INSUL,0.3ML","ADVOCATE SYRINGES : SYRING W-NDL,DISP,INSUL,0.3ML",1283,1264,1957,128341
MEDICAL SUPPLY,ADVOCATE SYRINGES,"SYRING W-NDL,DISP,INSUL,0.5ML","ADVOCATE SYRINGES : SYRING W-NDL,DISP,INSUL,0.5ML",1287,1286,2156,138189
MEDICAL SUPPLY,ADVOCATE SYRINGES,"SYRINGE & NEEDLE,INSULIN,1 ML","ADVOCATE SYRINGES : SYRINGE & NEEDLE,INSULIN,1 ML",1653,1623,2740,187539
CALCIUM CHANNEL BLOCKERS,AFEDITAB CR,NIFEDIPINE,AFEDITAB CR : NIFEDIPINE,17028,13580,67831,2420910
"ANTINEOPLASTIC,OTHER",AFINITOR,EVEROLIMUS,AFINITOR : EVEROLIMUS,7568,4816,32123,274841481
"ANTINEOPLASTIC,OTHER",AFINITOR DISPERZ,EVEROLIMUS,AFINITOR DISPERZ : EVEROLIMUS,NaN,NaN,20,245642
PLATELET AGGREGATION INHIBITORS,AGGRENOX,ASPIRIN/DIPYRIDAMOLE,AGGRENOX : ASPIRIN/DIPYRIDAMOLE,159850,101723,1005862,321026930
BLOOD FORMATION PRODUCTS,AGRYLIN,ANAGRELIDE HCL,AGRYLIN : ANAGRELIDE HCL,60,72,287,236612
MEDICAL SUPPLY,AIMSCO MINI ULTRA-THIN II,"NEEDLES, INSULIN DISPOSABLE","AIMSCO MINI ULTRA-THIN II : NEEDLES, INSULIN DISPOSABLE",175,170,246,7668
MEDICAL SUPPLY,AIMSCO ULTRA THIN II,"NEEDLES, INSULIN DISPOSABLE","AIMSCO ULTRA THIN II : NEEDLES, INSULIN DISPOSABLE",167,145,450,14345
"ANTI-INFECTIVE,TOPICAL OPHTHALMIC,OTHER",AK-POLY-BAC,BACITRACIN/POLYMYXIN B SULFATE,AK-POLY-BAC : BACITRACIN/POLYMYXIN B SULFATE,6428,3996,10082,217171
"ANTIACNE AGENTS,TOPICAL",AKNE-MYCIN,ERYTHROMYCIN BASE,AKNE-MYCIN : ERYTHROMYCIN BASE,648,599,782,122595
"OPHTHALMICS,OTHER",AKTEN,LIDOCAINE HCL/PF,AKTEN : LIDOCAINE HCL/PF,38,26,43,1644
"ANTI-INFLAMMATORY,TOPICAL",ALA-SCALP,HYDROCORTISONE,ALA-SCALP : HYDROCORTISONE,58,47,78,11345
OPIOID-CONTAINING ANTITUSSIVES/EXPECTORANTS,ALAHIST DHC,PHENYLEPHRINE HCL/DIHYDROCO BT,ALAHIST DHC : PHENYLEPHRINE HCL/DIHYDROCO BT,30,21,38,981
ANTHELMINTICS,ALBENZA,ALBENDAZOLE,ALBENZA : ALBENDAZOLE,5619,5188,7193,4333797
BLOOD DERIVATIVES,ALBUMIN (HUMAN),ALBUMIN HUMAN,ALBUMIN (HUMAN) : ALBUMIN HUMAN,NaN,NaN,14,3416
BLOOD DERIVATIVES,ALBUMINAR-25,ALBUMIN HUMAN,ALBUMINAR-25 : ALBUMIN HUMAN,11,NaN,41,24444
BLOOD DERIVATIVES,ALBUTEIN,ALBUMIN HUMAN,ALBUTEIN : ALBUMIN HUMAN,15,14,45,18300
"BRONCHODILATORS,SYMPATHOMIMETIC,INHALATION",ALBUTEROL SULFATE,ALBUTEROL SULFATE,ALBUTEROL SULFATE : ALBUTEROL SULFATE,275604,71447,873667,30783080
"ANESTHETICS,TOPICAL OPHTHALMIC",ALCAINE,PROPARACAINE HCL,ALCAINE : PROPARACAINE HCL,NaN,NaN,19,737
GLUCOCORTICOIDS,ALCLOMETASONE DIPROPIONATE,ALCLOMETASONE DIPROPIONATE,ALCLOMETASONE DIPROPIONATE : ALCLOMETASONE DIPROPIONATE,22514,9250,34661,1662234
MEDICAL SUPPLY,ALCOHOL PADS,ALCOHOL ANTISEPTIC PADS,ALCOHOL PADS : ALCOHOL ANTISEPTIC PADS,23846,14357,69014,1404256
MEDICAL SUPPLY,ALCOHOL PREP PADS,ALCOHOL ANTISEPTIC PADS,ALCOHOL PREP PADS : ALCOHOL ANTISEPTIC PADS,83310,43378,232709,3818283
MEDICAL SUPPLY,ALCOHOL PREP SWABS,ALCOHOL ANTISEPTIC PADS,ALCOHOL PREP SWABS : ALCOHOL ANTISEPTIC PADS,2432,1869,7552,27328
MEDICAL SUPPLY,ALCOHOL SWAB,ALCOHOL ANTISEPTIC PADS,ALCOHOL SWAB : ALCOHOL ANTISEPTIC PADS,2787,1830,7294,25977
MEDICAL SUPPLY,ALCOHOL SWABS,ALCOHOL ANTISEPTIC PADS,ALCOHOL SWABS : ALCOHOL ANTISEPTIC PADS,42494,21348,110598,392539
MEDICAL SUPPLY,ALCOHOL WIPES,ALCOHOL ANTISEPTIC PADS,ALCOHOL WIPES : ALCOHOL ANTISEPTIC PADS,1032,795,3257,9744
POTASSIUM SPARING/COMBINATIONS DIURETICS,ALDACTAZIDE,SPIRONOLACT/HYDROCHLOROTHIAZID,ALDACTAZIDE : SPIRONOLACT/HYDROCHLOROTHIAZID,1121,1144,4126,473628
POTASSIUM SPARING/COMBINATIONS DIURETICS,ALDACTONE,SPIRONOLACTONE,ALDACTONE : SPIRONOLACTONE,903,988,3606,413468
"IMMUNOLOGICAL AGENTS,OTHER",ALDARA,IMIQUIMOD,ALDARA : IMIQUIMOD,470,447,665,284966
"HORMONES/SYNTHETICS/MODIFIERS,OTHER",ALDURAZYME,LARONIDASE,ALDURAZYME : LARONIDASE,NaN,NaN,38,1408266
"HORMONES/SYNTHETICS/MODIFIERS,OTHER",ALENDRONATE SODIUM,ALENDRONATE SODIUM,ALENDRONATE SODIUM : ALENDRONATE SODIUM,1633062,257534,8099826,101120488
ALPHA BLOCKERS/RELATED,ALFUZOSIN HCL,ALFUZOSIN HCL,ALFUZOSIN HCL : ALFUZOSIN HCL,89732,39978,413547,22895170
"KERATOLYTICS/CAUSTICS,TOPICAL",ALICLEN,SALICYLIC ACID,ALICLEN : SALICYLIC ACID,21,21,26,1181
"ANTINEOPLASTICS,ANTIMETABOLITES",ALIMTA,PEMETREXED DISODIUM,ALIMTA : PEMETREXED DISODIUM,315,219,1685,8228722
"ANTIPROTOZOALS,OTHER",ALINIA,NITAZOXANIDE,ALINIA : NITAZOXANIDE,3241,2148,4112,1756511
"ANTINEOPLASTICS,ALKYLATING AGENTS",ALKERAN,MELPHALAN,ALKERAN : MELPHALAN,223,235,672,170330
"ANTIHISTAMINES,BUTYROPHENONE",ALLEGRA,FEXOFENADINE HCL,ALLEGRA : FEXOFENADINE HCL,81,78,123,7010
ANTIHISTAMINE/DECONGESTANT,ALLEGRA-D 12 HOUR,FEXOFENADINE/PSEUDOEPHEDRINE,ALLEGRA-D 12 HOUR : FEXOFENADINE/PSEUDOEPHEDRINE,87,82,112,8394
ANTIHISTAMINE/DECONGESTANT,ALLEGRA-D 24 HOUR,FEXOFENADINE/PSEUDOEPHEDRINE,ALLEGRA-D 24 HOUR : FEXOFENADINE/PSEUDOEPHEDRINE,114,114,174,21572
ANTIGOUT AGENTS,ALLOPURINOL,ALLOPURINOL,ALLOPURINOL : ALLOPURINOL,1480984,274827,7634513,62395793
"ANTI-INFLAMMATORIES,TOPICAL OPHTHALMIC",ALOCRIL,NEDOCROMIL SODIUM,ALOCRIL : NEDOCROMIL SODIUM,1954,1592,4132,696434
"OPHTHALMICS,OTHER",ALOMIDE,LODOXAMIDE TROMETHAMINE,ALOMIDE : LODOXAMIDE TROMETHAMINE,557,492,1160,163086
CONTRACEPTIVES/WOMANS HEALTH ,ALORA,ESTRADIOL,ALORA : ESTRADIOL,2718,2876,10567,971458
ANTIEMETICS,ALOXI,PALONOSETRON HCL,ALOXI : PALONOSETRON HCL,598,239,2247,1720972
"ANTIGLAUCOMA,OTHER",ALPHAGAN P,BRIMONIDINE TARTRATE,ALPHAGAN P : BRIMONIDINE TARTRATE,224013,47008,949403,139808586
BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS,ALPRAZOLAM,ALPRAZOLAM,ALPRAZOLAM : ALPRAZOLAM,2458682,362378,12545978,90249808
BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS,ALPRAZOLAM ER,ALPRAZOLAM,ALPRAZOLAM ER : ALPRAZOLAM,14751,12071,57200,2403948
BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS,ALPRAZOLAM INTENSOL,ALPRAZOLAM,ALPRAZOLAM INTENSOL : ALPRAZOLAM,362,388,888,84635
BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS,ALPRAZOLAM ODT,ALPRAZOLAM,ALPRAZOLAM ODT : ALPRAZOLAM,1806,1752,3683,382799
BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS,ALPRAZOLAM XR,ALPRAZOLAM,ALPRAZOLAM XR : ALPRAZOLAM,5732,5211,18633,916636
PROSTAGLANDINS,ALPROSTADIL,ALPROSTADIL,ALPROSTADIL : ALPROSTADIL,64,46,137,9154
"ANTI-INFLAMMATORIES,TOPICAL OPHTHALMIC",ALREX,LOTEPREDNOL ETABONATE,ALREX : LOTEPREDNOL ETABONATE,43680,16466,91361,16432140
ANTIMIGRAINE AGENTS,ALSUMA,SUMATRIPTAN SUCCINATE,ALSUMA : SUMATRIPTAN SUCCINATE,209,193,519,299377
"ANTIBACTERIAL,TOPICAL",ALTABAX,RETAPAMULIN,ALTABAX : RETAPAMULIN,3113,2356,4658,692271
ACE INHIBITORS,ALTACE,RAMIPRIL,ALTACE : RAMIPRIL,2849,3078,14297,2898301
CONTRACEPTIVES/WOMANS HEALTH ,ALTAVERA,LEVONORGESTREL-ETH ESTRADIOL,ALTAVERA : LEVONORGESTREL-ETH ESTRADIOL,651,721,3037,94288
ANTILIPEMIC AGENTS/STATIN,ALTOPREV,LOVASTATIN,ALTOPREV : LOVASTATIN,1367,1415,5290," $4,161,459.00 "
EMOLLIENTS,ALUVEA,UREA,ALUVEA : UREA,63,57,72,24768
"ANTI-INFLAMMATORIES,INHALATION",ALVESCO,CICLESONIDE,ALVESCO : CICLESONIDE,6823,4576,24790,6740449
CONTRACEPTIVES/WOMANS HEALTH ,ALYACEN,NORETHINDRONE-ETHINYL ESTRAD,ALYACEN : NORETHINDRONE-ETHINYL ESTRAD,941,1032,4973,145531
MISCELLANEOUS AGENTS,ALZ-NAC,ACETYL/METHYL-B12/LMEFOLATE CA,ALZ-NAC : ACETYL/METHYL-B12/LMEFOLATE CA,473,417,1570,146834
ANTIVIRALS,AMANTADINE,AMANTADINE HCL,AMANTADINE : AMANTADINE HCL,80835,42241,411156,42468609
"ORAL HYPOGLYCEMIC AGENTS,ORAL",AMARYL,GLIMEPIRIDE,AMARYL : GLIMEPIRIDE,1988,2146,9446,1259484
"SEDATIVES/HYPNOTICS,OTHER",AMBIEN,ZOLPIDEM TARTRATE,AMBIEN : ZOLPIDEM TARTRATE,7353,8033,35748,11070694
"SEDATIVES/HYPNOTICS,OTHER",AMBIEN CR,ZOLPIDEM TARTRATE,AMBIEN CR : ZOLPIDEM TARTRATE,6672,7673,36783,10725219
ANTIFUNGALS,AMBISOME,AMPHOTERICIN B LIPOSOME,AMBISOME : AMPHOTERICIN B LIPOSOME,89,72,332,644585
"ANTI-INFLAMMATORY,TOPICAL",AMCINONIDE,AMCINONIDE,AMCINONIDE : AMCINONIDE,3371,2442,6223,1654373
ANTIMIGRAINE AGENTS,AMERGE,NARATRIPTAN HCL,AMERGE : NARATRIPTAN HCL,199,224,865,380505
CONTRACEPTIVES/WOMANS HEALTH ,AMETHIA,L-NORGEST-ETH ESTR/ETHIN ESTRA,AMETHIA : L-NORGEST-ETH ESTR/ETHIN ESTRA,1020,1113,2313,402497
CONTRACEPTIVES/WOMANS HEALTH ,AMETHIA LO,L-NORGEST-ETH ESTR/ETHIN ESTRA,AMETHIA LO : L-NORGEST-ETH ESTR/ETHIN ESTRA,130,146,271,52985
CONTRACEPTIVES/WOMANS HEALTH ,AMETHYST,LEVONORGESTREL-ETH ESTRADIOL,AMETHYST : LEVONORGESTREL-ETH ESTRADIOL,313,364,1935,116247
ANTIHEMORRHAGICS,AMICAR,AMINOCAPROIC ACID,AMICAR : AMINOCAPROIC ACID,67,68,77,21041
PROTECTIVE AGENTS,AMIFOSTINE,AMIFOSTINE CRYSTALLINE,AMIFOSTINE : AMIFOSTINE CRYSTALLINE,11,NaN,37,58826
"ANTIBIOTICS, AMINOGLYCOSIDES",AMIKACIN SULFATE,AMIKACIN SULFATE,AMIKACIN SULFATE : AMIKACIN SULFATE,5120,3331,14064,967624
POTASSIUM SPARING/COMBINATIONS DIURETICS,AMILORIDE HCL,AMILORIDE HCL,AMILORIDE HCL : AMILORIDE HCL,16521,14886,81539,4674505
POTASSIUM SPARING/COMBINATIONS DIURETICS,AMILORIDE-HYDROCHLOROTHIAZIDE,AMILORIDE/HYDROCHLOROTHIAZIDE,AMILORIDE-HYDROCHLOROTHIAZIDE : AMILORIDE/HYDROCHLOROTHIAZIDE,23995,19283,118351,1668206
"AMINO ACIDS/PROTEINS,PARENTERAL",AMINO ACIDS,PARENTERAL AMINO ACID 15% NO.1,AMINO ACIDS : PARENTERAL AMINO ACID 15% NO.1,NaN,NaN,17,2604
ANTIHEMORRHAGICS,AMINOCAPROIC ACID,AMINOCAPROIC ACID,AMINOCAPROIC ACID : AMINOCAPROIC ACID,3006,2370,6435,3169849
"BRONCHODILATORS,XANTHINE-DERIVATIVE",AMINOPHYLLINE,AMINOPHYLLINE,AMINOPHYLLINE : AMINOPHYLLINE,61,52,99,652
"AMINO ACIDS/PROTEINS,PARENTERAL",AMINOSYN,PARENTERAL AMINO ACID 10% NO.2,AMINOSYN : PARENTERAL AMINO ACID 10% NO.2,NaN,NaN,25,6818
"AMINO ACIDS/PROTEINS,PARENTERAL",AMINOSYN II,PARENTERAL AMINO ACID 10% NO.1,AMINOSYN II : PARENTERAL AMINO ACID 10% NO.1,11,11,96,15919
"AMINO ACIDS/PROTEINS,PARENTERAL",AMINOSYN II,PARENTERAL AMINO ACID 15% NO.2,AMINOSYN II : PARENTERAL AMINO ACID 15% NO.2,NaN,11,93,13140
ANTIARRHYTHMICS,AMIODARONE HCL,AMIODARONE HCL,AMIODARONE HCL : AMIODARONE HCL,465171,162391,2093378,42249601
"GASTRIC MEDICATIONS,OTHER",COLAZAL,BALSALAZIDE DISODIUM,COLAZAL : BALSALAZIDE DISODIUM,81,88,308,155712
ANTIDEPRESSANTS / TCA,AMITRIPTYLINE HCL,AMITRIPTYLINE HCL,AMITRIPTYLINE HCL : AMITRIPTYLINE HCL,848797,264858,4321108,25724528
CALCIUM CHANNEL BLOCKERS,AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,AMLODIPINE BESYLATE : AMLODIPINE BESYLATE,6244693,441869,34598901,343338072
CALCIUM CHANNEL BLOCKERS,AMLODIPINE BESYLATE-BENAZEPRIL,AMLODIPINE BESYLATE/BENAZEPRIL,AMLODIPINE BESYLATE-BENAZEPRIL : AMLODIPINE BESYLATE/BENAZEPRIL,480900,148413,2827486,201958981
CALCIUM CHANNEL BLOCKERS,AMLODIPINE-ATORVASTATIN,AMLODIPINE/ATORVASTATIN,AMLODIPINE-ATORVASTATIN : AMLODIPINE/ATORVASTATIN,35452,29888,161305,44832324
